id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7495218,Summer Sale ⭐️ Centrally Located • Free Parking,28805286,Erin,,Somerset,45.41204,-75.69562,Entire home/apt,94,1,491,2020-10-18,7.87,1,179
7526282,Modern Condo in Centretown w an office & Parking,7354245,Lisa,,Somerset,45.41243,-75.69213,Entire home/apt,149,180,1,2016-10-30,0.02,40,189
7579005,A gem in an upscale luxury Ottawa Neighbourhood,7150052,Fuadz,,Gloucester-South Nepean,45.28246,-75.70178,Entire home/apt,1395,3,0,,,1,180
7658921,Ambassador B&B - cozy room,25461090,Irina,,Rideau-Vanier,45.42958,-75.67617,Private room,89,1,24,2020-09-13,0.38,5,365
7680581,"Downtown Core, Elgin St, Clean & Affordable!",13111148,Victor,,Somerset,45.41796,-75.69206,Entire home/apt,66,3,230,2020-06-30,4.51,9,330
7691538,Exquisite room - en suite bathroom,25461090,Irina,,Rideau-Vanier,45.4295,-75.67388,Private room,99,1,12,2020-08-26,0.21,5,310
7699251,Private  Apartment * FREE PARKING * WALK & ENJOY,40441562,Andres And Raquel,,Somerset,45.41271,-75.70245,Entire home/apt,55,1,399,2020-10-04,6.80,9,297
7713717,Bright Spacious Room Close to Everything w/Parking,248064,Tasha,,Somerset,45.41063,-75.71169,Private room,90,1,85,2020-09-11,1.49,1,88
7782901,Room w/ double bed & desk in an Ottawa homestay!,3582571,Maree And Geoff,,Rideau-Vanier,45.43617,-75.69255,Private room,69,4,21,2019-12-20,0.33,3,21
7797639,"Cozy, Relaxing & Inspiring Studio in Centretown",3052313,Renée,,Somerset,45.41615,-75.694,Entire home/apt,89,2,110,2020-01-20,1.74,1,0
7820353,"Eclectic 1 BDRM, Super Downtown Ottawa",41173096,Hannah,,Somerset,45.41656,-75.69354,Entire home/apt,250,4,3,2017-07-03,0.05,1,83
7840014,Charming House in West Ottawa,28096363,Andy Diane,,West Carleton-March,45.25752,-76.06401,Entire home/apt,600,2,34,2020-08-02,0.54,1,89
7934545,Relaxing Studio in Ottawa’s Trendiest Neighborhood,25441452,Hilary,,Kitchissippi,45.40154,-75.72334,Entire home/apt,86,2,181,2020-10-12,3.09,2,0
7956313,Medical Professionals - Walk to Civic Hospital,10424386,Darlene And Terry,,Kitchissippi,45.38915,-75.72746,Private room,50,5,63,2020-02-23,1.01,2,89
7964017,Private room & bathroom in Carp,42017962,Chuck,,West Carleton-March,45.2845,-75.99824,Private room,75,1,51,2020-09-06,0.81,2,356
7992278,Norman Street Main House,1010870,Julie & Sean,,Somerset,45.40125,-75.70876,Entire home/apt,150,3,2,2018-07-20,0.05,2,0
8001807,CREW HOUSING OTTAWA,42242471,Andrew,,Somerset,45.41517,-75.68837,Entire home/apt,300,28,53,2020-03-31,0.85,9,365
8062873,Bachelor unit independent entrance,42585775,Cecilia,,Rideau-Rockcliffe,45.44511,-75.67448,Private room,65,4,18,2019-10-31,0.29,1,365
8082182,Bright Spacious Loft South Ottawa!,42690265,Evan,,Gloucester-Southgate,45.3609,-75.63376,Private room,64,1,19,2017-07-01,0.36,2,0
8088668,Cozy Studio • Downtown • IndoorParking • QueenBed,42715296,Jeff,,Somerset,45.41062,-75.69497,Entire home/apt,1614,250,295,2020-03-31,4.73,1,0
